system_variant,system_family,slab_depth,beam_depth,screed_depth,steel_depth,swt,sdl,ll,max_span,concrete_volume,steel_volume,timber_volume,material_concrete_id,material_pt_id,material_steel_id,material_timber_id,ebc_mm,beam_ref,source
cemex_bb_155_a4,cemex_bb_155_a,0.155,0.1,,,2.28,1.56,3,4.15,0.095,0.0456,,concrete,pt,,,520,CEMEX_155_A,
cemex_bb_155_a5,cemex_bb_155_a,0.155,0.1,,,2.28,1.56,4,3.905,0.095,0.0456,,concrete,pt,,,520,CEMEX_155_A,
cemex_bb_155_a6,cemex_bb_155_a,0.155,0.1,,,2.28,1.56,5,3.66,0.095,0.0456,,concrete,pt,,,520,CEMEX_155_A,
cemex_bb_155_b1,cemex_bb_155_b,0.155,0.1,,,2.6,1.56,1.5,5.73,0.10833333,0.052,,concrete,pt,,,295,CEMEX_155_B,
cemex_bb_155_b2,cemex_bb_155_b,0.155,0.1,,,2.6,1.56,2,5.61,0.10833333,0.052,,concrete,pt,,,295,CEMEX_155_B,
cemex_bb_155_b3,cemex_bb_155_b,0.155,0.1,,,2.6,1.56,2.5,5.48,0.10833333,0.052,,concrete,pt,,,295,CEMEX_155_B,
cemex_bb_155_b4,cemex_bb_155_b,0.155,0.1,,,2.6,1.56,3,5.36,0.10833333,0.052,,concrete,pt,,,295,CEMEX_155_B,
cemex_bb_155_b5,cemex_bb_155_b,0.155,0.1,,,2.6,1.56,4,5.09,0.10833333,0.052,,concrete,pt,,,295,CEMEX_155_B,
cemex_bb_155_b6,cemex_bb_155_b,0.155,0.1,,,2.6,1.56,5,4.78,0.10833333,0.052,,concrete,pt,,,295,CEMEX_155_B,
cemex_bb_155_c1,cemex_bb_155_c,0.155,0.1,,,2.39,1.56,1.5,4.995,0.09958333,0.0478,,concrete,pt,,,408,CEMEX_155_C,
cemex_bb_155_c2,cemex_bb_155_c,0.155,0.1,,,2.39,1.56,2,4.865,0.09958333,0.0478,,concrete,pt,,,408,CEMEX_155_C,
cemex_bb_155_c3,cemex_bb_155_c,0.155,0.1,,,2.39,1.56,2.5,4.748,0.09958333,0.0478,,concrete,pt,,,408,CEMEX_155_C,
cemex_bb_155_c4,cemex_bb_155_c,0.155,0.1,,,2.39,1.56,3,4.64,0.09958333,0.0478,,concrete,pt,,,408,CEMEX_155_C,
cemex_bb_155_c5,cemex_bb_155_c,0.155,0.1,,,2.39,1.56,4,4.378,0.09958333,0.0478,,concrete,pt,,,408,CEMEX_155_C,
cemex_bb_155_c6,cemex_bb_155_c,0.155,0.1,,,2.39,1.56,5,4.105,0.09958333,0.0478,,concrete,pt,,,408,CEMEX_155_C,
cemex_bb_155_d1,cemex_bb_155_d,0.155,0.1,,,2.57,1.56,1.5,5.52,0.10708333,0.0514,,concrete,pt,,,324,CEMEX_155_D,
cemex_bb_155_d2,cemex_bb_155_d,0.155,0.1,,,2.57,1.56,2,5.37,0.10708333,0.0514,,concrete,pt,,,324,CEMEX_155_D,
cemex_bb_155_d3,cemex_bb_155_d,0.155,0.1,,,2.57,1.56,2.5,5.244,0.10708333,0.0514,,concrete,pt,,,324,CEMEX_155_D,
cemex_bb_155_d4,cemex_bb_155_d,0.155,0.1,,,2.57,1.56,3,5.13,0.10708333,0.0514,,concrete,pt,,,324,CEMEX_155_D,
cemex_bb_155_d5,cemex_bb_155_d,0.155,0.1,,,2.57,1.56,4,4.874,0.10708333,0.0514,,concrete,pt,,,324,CEMEX_155_D,
cemex_bb_155_d6,cemex_bb_155_d,0.155,0.1,,,2.57,1.56,5,4.574,0.10708333,0.0514,,concrete,pt,,,324,CEMEX_155_D,
cemex_bb_155_e1,cemex_bb_155_e,0.155,0.1,,,2.95,1.56,1.5,5.9,0.12291667,0.059,,concrete,pt,,,211,CEMEX_155_E,
cemex_bb_155_e2,cemex_bb_155_e,0.155,0.1,,,2.95,1.56,2,5.9,0.12291667,0.059,,concrete,pt,,,211,CEMEX_155_E,
cemex_bb_155_e3,cemex_bb_155_e,0.155,0.1,,,2.95,1.56,2.5,5.9,0.12291667,0.059,,concrete,pt,,,211,CEMEX_155_E,
cemex_bb_155_e4,cemex_bb_155_e,0.155,0.1,,,2.95,1.56,3,5.9,0.12291667,0.059,,concrete,pt,,,211,CEMEX_155_E,
cemex_bb_155_e5,cemex_bb_155_e,0.155,0.1,,,2.95,1.56,4,5.83,0.12291667,0.059,,concrete,pt,,,211,CEMEX_155_E,
